,Player,From,To,Position,Height,Weight,Birth Date,College,bball_id
559,Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",TCU,smithre01
560,Robert Smith,1978,1985,G,5-11,165,"March 10, 1955",UNLV,smithro01
561,Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",Louisville,smithru01
562,Sam Smith,1968,1971,F,6-7,230,"January 27, 1944","Louisville, Kentucky Wesleyan College",smithsa01
563,Sam Smith,1979,1980,G,6-4,200,"January 8, 1955",UNLV,smithsa02
564,Steve Smith,1992,2005,G,6-8,200,"March 31, 1969",Michigan State,smithst01
565,Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle,smithst03
566,Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State,smithst02
567,Terquavion Smith,2024,2024,G,6-4,165,"December 31, 2002",NC State,smithte01
568,Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University,smithth01
569,Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette,smithto02
570,Tyler Smith,2025,2025,F,6-11,224,"November 2, 2004",,smithty02
571,William Smith,1972,1973,C,7-0,220,"February 14, 1949",Syracuse,smithwi01
572,Willie Smith,1977,1980,G,6-2,170,"October 26, 1953",Missouri,smithwi02
573,Zhaire Smith,2019,2020,G,6-3,205,"June 4, 1999",Texas Tech,smithzh01
574,Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College,smitsri01
575,Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius,smrekmi01
576,Joe Smyth,1954,1954,F,6-3,215,"May 22, 1929",Niagara University,smythjo01
577,Xavier Sneed,2022,2023,F,6-5,215,"December 21, 1997",Kansas State,sneedxa01
578,Tony Snell,2014,2022,G-F,6-6,213,"November 10, 1991",New Mexico,snellto01
579,Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State,snower01
580,Dick Snyder,1967,1979,G-F,6-5,207,"February 1, 1944",Davidson,snydedi01
581,Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983",Nevada,snydeki01
582,Chips Sobek,1950,1950,G-F,6-0,180,"February 10, 1920",Notre Dame,sobekch01
583,Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953",UNLV,soberri01
584,Ron Sobie,1957,1960,G,6-3,185,"September 21, 1934",DePaul,sobiero01
585,Jeremy Sochan,2023,2025,F-G,6-8,230,"May 20, 2003",Baylor,sochaje01
586,Mike Sojourner,1975,1977,C-F,6-9,225,"October 16, 1953",Utah,sojoumi01
587,Willie Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State,sojouwi01
588,Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson,solomwi01
589,Willie Somerset,1966,1969,G,5-8,170,"March 17, 1942",Duquesne,somerwi01
590,Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest,songada01
591,Dave Sorenson,1971,1973,F,6-8,225,"July 8, 1948",Ohio State,sorenda01
592,James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse,southja01
593,Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",Detroit Mercy,sovragi01
594,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981",Cal State Fullerton,sowpa01
595,Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",Houston,spainke01
596,Ray Spalding,2019,2021,F,6-10,215,"March 11, 1997",Louisville,spaldra01
597,Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",Duke,spanaji01
598,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",,spanova01
599,Dan Sparks,1969,1970,F,6-8,200,"April 17, 1945","Vincennes University, Weber State",sparkda01
600,Guy Sparrow,1958,1960,F,6-6,218,"November 2, 1932",Detroit Mercy,sparrgu01
601,Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova,sparrro01
602,Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky,spearod01
603,Art Spector,1947,1950,F,6-4,200,"October 17, 1918",Villanova,spectar01
604,Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",Florida,speigma01
605,Omari Spellman,2019,2020,F,6-8,245,"July 21, 1997",Villanova,spellom01
606,Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University,spencan01
607,Cam Spencer,2025,2025,G,6-3,205,"April 6, 2000","Loyola (MD), Rutgers University, UConn",spencca01
608,Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","Georgia, UNLV",spencel01
609,Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",Louisville,spencfe01
610,Pat Spencer,2024,2025,G,6-3,205,"July 4, 1996","Loyola (MD), Northwestern",spencpa01
611,Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse,spicelo01
612,Craig Spitzer,1968,1968,C,7-0,225,"December 18, 1945",Tulane,spitzcr01
613,Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",,splitti01
614,Art Spoelstra,1955,1958,C,6-9,220,"September 11, 1932",Western Kentucky,spoelar01
615,Bruce Spraggins,1968,1968,F,6-5,188,"August 31, 1939",Virginia Union University,spragbr01
616,Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970","Three Rivers Community College, Alabama",sprewla01
617,Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University,sprigla01
618,Jaden Springer,2022,2025,G,6-4,204,"September 25, 2002",Tennessee,sprinja01
619,Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",,sprinji01
620,Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",Rice University,spruiji01
621,Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",South Carolina,stackry01
622,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",UNC,stackje01
623,Kevin Stacom,1975,1982,G,6-3,185,"September 4, 1951","Holy Cross, Providence",stacoke01
624,Erv Staggs,1970,1970,F-G,6-6,195,"September 1, 1948","North Carolina A&T, Cheyney (PA)",stagger01
625,Bud Stallworth,1973,1977,F-G,6-5,190,"January 18, 1950",Kansas,stallbu01
626,Dave Stallworth,1966,1975,F-C,6-7,200,"December 20, 1941",Wichita State,stallda01
627,Ed Stanczak,1950,1951,F,6-1,185,"August 15, 1921",,stanced01
628,Cassius Stanley,2021,2022,G,6-5,190,"August 18, 1999",Duke,stanlca01
629,Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple,stanste01
630,John Starks,1989,2002,G,6-5,180,"August 10, 1965","Northern Oklahoma College, Oklahoma Junior College, Oklahoma State",starkjo01
631,Keith Starr,1977,1977,G-F,6-6,190,"March 14, 1954",Pitt,starrke01
632,Nik Stauskas,2015,2022,G,6-6,205,"October 7, 1993",Michigan,stausni01
633,Larry Staverman,1959,1964,F,6-7,205,"October 11, 1936",Thomas More College,stavela01
634,Larry Steele,1972,1980,G-F,6-5,180,"May 5, 1949",Kentucky,steella01
635,Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State,steigma01
636,Vladimir Stepania,1999,2004,C,7-0,236,"May 8, 1976",,stepavl01
637,D.J. Stephens,2014,2019,G-F,6-5,188,"December 19, 1990",Memphis,stephdj01
638,Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue,stephev01
639,Jack Stephens,1956,1956,G-F,6-3,185,"May 18, 1933",Notre Dame,stephja01
640,Joe Stephens,1997,2000,F,6-7,210,"January 28, 1973","Colorado, Little Rock",stephjo01
641,Lance Stephenson,2011,2022,G-F,6-6,230,"September 5, 1990",Cincinnati,stephla01
642,Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987","UNC, USC",stephal01
643,Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Tech,steppbr01
644,Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State,steveba01
645,Lamar Stevens,2021,2024,F,6-6,230,"July 9, 1997",Penn State,stevela01
646,Wayne Stevens,1960,1960,F,6-3,185,"June 19, 1936",Cincinnati,stevewa01
647,DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",,stevede01
648,Dennis Stewart,1971,1971,F,6-6,220,"April 11, 1947",Michigan,stewade01
649,Isaiah Stewart,2021,2025,F-C,6-8,250,"May 22, 2001",Washington,stewais01
650,Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","UNLV, Cal State-Bakersfield",stewake01
651,Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University,stewala01
652,Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",California,stewami01
653,Norm Stewart,1957,1957,F,6-5,205,"January 20, 1935",Missouri,stewano01
654,Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",Wisconsin,stiemgr01
655,Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",Missouri,stipast01
656,Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",Virginia,stithbr01
657,Sam Stith,1962,1962,G,6-2,185,"July 22, 1937",St. Bonaventure,stithsa01
658,Tom Stith,1963,1963,F,6-5,210,"January 21, 1939",St. Bonaventure,stithto01
659,Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962","Creighton, Colorado",stivral01
660,David Stockton,2015,2018,G,5-11,165,"June 24, 1991",Gonzaga,stockda01
661,John Stockton,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga,stockjo01
662,Peja Stojaković,1999,2011,F,6-10,229,"June 9, 1977",,stojape01
663,Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",Arizona,stokeed01
664,Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",Iowa,stokegr01
665,Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",Tennessee,stokeja01
666,Maurice Stokes,1956,1958,F-C,6-7,232,"June 17, 1933",Saint Francis University,stokema01
667,Art Stolkey,1947,1947,G,6-1,180,"October 23, 1920",Detroit Mercy,stolkar01
668,Randy Stoll,1968,1968,C,6-7,235,,Washington State,stollra01
669,Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",Maryland,stonedi01
670,George Stone,1969,1972,F,6-7,195,"February 9, 1946",Marshall,stonege01
671,Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",Texas-El Paso,stoneju01
672,Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977","Illinois, Arizona State",storeaw01
673,Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",Arizona,stoudda01
674,Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",Arizona,stoudsa01
675,Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",,stoudam01
676,Paul Stovall,1973,1974,F,6-4,215,"August 16, 1948","Pratt Community College, Arizona State",stovapa01
677,D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",Maryland,strawdj01
678,Joe Strawder,1966,1968,C,6-10,235,"September 21, 1940",Bradley,strawjo01
679,Julian Strawther,2024,2025,F,6-7,205,"April 18, 2002",Gonzaga,strawju01
680,Bill Stricker,1971,1971,F,6-9,210,"January 22, 1948",University of the Pacific,stricbi01
681,Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",Nebraska,stricer01
682,Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple,stricma01
683,Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul,stricro02
684,Roger Strickland,1964,1964,F,6-5,200,"September 4, 1940",Jacksonville University,stricro01
685,John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",Montana,stroejo01
686,Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier,stronde01
687,Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University,strotla01
688,John Stroud,1981,1981,F,6-7,215,"October 29, 1957",Ole Miss,stroujo01
689,Red Stroud,1968,1968,G,6-0,160,"May 2, 1941",Mississippi State,stroure01
690,Max Strus,2020,2025,G,6-5,215,"March 28, 1996","Lewis (IL), DePaul",strusma01
691,Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington,stuckro01
692,Gene Stump,1948,1950,F-G,6-2,185,"August 9, 1925",DePaul,stumpge01
693,Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",Rhode Island,stutzst01
694,Jalen Suggs,2022,2025,G,6-5,205,"June 3, 2001",Gonzaga,suggsja01
695,Gary Suiter,1971,1971,C-F,6-9,225,"January 18, 1945",Midwestern State University,suitega01
696,Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State,sullija01
697,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown,summeda01
698,Edmond Sumner,2018,2023,G,6-4,196,"December 31, 1995",Xavier,sumneed01
699,Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965","Louisville, Austin Peay State University",sumptba01
700,Don Sunderlage,1954,1955,G,6-1,180,"December 20, 1929",Illinois,sundedo01
701,Bruno Šundov,1999,2005,C,7-2,220,"February 10, 1980",,sundobr01
702,Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",Missouri,sundvjo01
703,Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State,surabo01
704,Dick Surhoff,1953,1954,F,6-4,210,"November 16, 1929",Long Island University,surhodi01
705,George Sutor,1968,1970,C,6-8,235,"September 14, 1943",La Salle,sutorge01
706,Dane Suttle,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine,suttlda01
707,Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts,suttogr01
708,Keith Swagerty,1969,1970,F,6-7,235,"October 30, 1945",University of the Pacific,swageke01
709,Bennie Swain,1959,1959,F,6-8,220,"December 16, 1933",Texas Southern,swainbe01
710,Caleb Swanigan,2018,2020,F,6-9,260,"April 18, 1997",Purdue,swanica01
711,Norm Swanson,1954,1954,F,6-6,210,"October 4, 1930",Detroit Mercy,swansno01
712,Dan Swartz,1963,1963,F,6-4,215,"December 23, 1934",Morehead State University,swartda01
713,Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown,sweetmi01
714,Cole Swider,2023,2025,F,6-9,220,"May 8, 1999","Villanova, Syracuse",swideco01
715,Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",,swiftro01
716,Skeeter Swift,1970,1974,G,6-3,204,"June 19, 1946",East Tennessee State University,swiftsk01
717,Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",LSU,swiftst01
718,Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn,swinsaa01
719,Craig Sword,2022,2022,G,6-3,196,"January 16, 1994",Mississippi State,swordcr01
720,Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",,sypa01
721,Buck Sydnor,1947,1947,G,5-10,175,"September 19, 1921",Western Kentucky,sydnobu01
722,Keifer Sykes,2022,2022,G,6-0,180,"December 30, 1993",Green Bay,sykeske01
723,Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier,sykesla01
724,Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD),szabobr01
725,Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University,szczewa02
726,Walt Szczerbiak,1972,1972,F,6-6,210,"August 21, 1949",George Washington,szczewa01
727,Žan Tabak,1995,2001,C,7-0,245,"June 15, 1970",,tabakza01
728,Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii,tabusyu01
729,Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",Pitt,taftch01
730,Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",NYU,tanensi01
731,Dragan Tarlać,2001,2001,C,6-10,260,"May 9, 1973",,tarladr01
732,Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",Michigan,tarplro01
733,Levern Tart,1968,1971,G-F,6-2,195,"June 1, 1942",Bradley,tartle01
734,Jae'Sean Tate,2021,2025,F,6-4,230,"October 28, 1995",Ohio State,tateja01
735,Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette,tatumea01
736,Jayson Tatum,2018,2025,F,6-8,210,"March 3, 1998",Duke,tatumja01
737,Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",,tavarwa01
738,Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",Oregon,tayloan01
739,Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton,taylobr01
740,Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, UAB",taylodo01
741,Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946","Dodge City Community College, La Salle",taylofa01
742,Fred Taylor,1971,1972,G-F,6-5,180,"February 5, 1948",University of Texas Rio Grande Valley,taylofr01
743,Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",Texas,taylois01
744,Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University,tayloja01
745,Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech,tayloje01
746,Jeff Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt,tayloje03
747,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",Central Florida,tayloje02
748,Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, Chattanooga",taylojo01
749,Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",California,taylole01
750,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976","Michigan, LSU",tayloma01
751,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986","Chipola College, Iowa State",taylomi01
752,Ollie Taylor,1971,1974,G-F,6-2,194,"March 7, 1947","San Jacinto College, Houston",taylool01
753,Ron Taylor,1970,1972,C,7-1,265,"November 21, 1947",USC,tayloro01
754,Terry Taylor,2022,2024,G-F,6-5,230,"September 23, 1999",Austin Peay State University,taylote01
755,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",Kansas,tayloty01
756,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke,taylovi01
757,Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor,teaglte01
758,Jeff Teague,2010,2021,G,6-3,195,"June 10, 1988",Wake Forest,teaguje01
759,Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",Kentucky,teaguma01
760,Mirza Teletović,2013,2018,F,6-9,242,"September 18, 1985",,teletmi01
761,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",,telfase01
762,Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",LSU,templco01
763,Garrett Temple,2010,2025,G,6-5,195,"May 8, 1986",LSU,templga01
764,Miloš Teodosić,2018,2019,G,6-5,196,"March 19, 1987",,teodomi01
765,Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",SMU,terreir01
766,Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island,terreja01
767,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State,terryca01
768,Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950",Cal State Long Beach,terrych01
769,Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford,terrycl01
770,Dalen Terry,2023,2025,G,6-7,195,"July 12, 2002",Arizona,terryda01
771,Emanuel Terry,2019,2022,F,6-9,220,"August 21, 1996",Lincoln Memorial,terryem01
772,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona,terryja01
773,Tyrell Terry,2021,2022,G,6-2,160,"September 28, 2000",Stanford,terryty01
774,Jon Teske,2022,2022,C,7-1,265,"May 4, 1997",Michigan,teskejo01
775,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn,thabeha01
776,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",Cincinnati,thackto01
777,Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University,thearfl01
778,Daniel Theis,2018,2025,C,6-8,245,"April 4, 1992",,theisda01
779,Reggie Theus,1979,1991,G,6-6,190,"October 13, 1957",UNLV,theusre01
780,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's,thibepe01
781,Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra,thiebbi01
782,Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947","Mott Community College, Weber State",thigpju01
783,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley,thirdda01
784,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis,thomaad01
785,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas,thomabi01
786,Brodric Thomas,2021,2022,G,6-5,185,"January 28, 1997",Truman State University,thomabr01
787,Cam Thomas,2022,2025,G,6-4,210,"October 13, 2001",LSU,thomaca02
788,Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan,thomaca01
789,Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan,thomach01
790,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse,thomaet01
791,Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","Kentucky, Florida State",thomair01
792,Isaiah Thomas,2012,2024,G,5-9,185,"February 7, 1989",Washington,thomais02
793,Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana,thomais01
794,Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence,thomaja01
795,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",Texas,thomaja02
796,Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana,thomaji01
797,Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette,thomajo01
798,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",Minnesota,thomajo02
799,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",New Mexico,thomake01
800,Khyri Thomas,2019,2021,G,6-3,210,"May 8, 1996",Creighton,thomakh01
801,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",TCU,thomaku01
802,Lance Thomas,2012,2020,F,6-8,240,"April 24, 1988",Duke,thomala01
803,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine, San Diego State",thomama01
804,Matt Thomas,2020,2022,G,6-4,190,"August 4, 1994",Iowa State,thomama02
805,Ron Thomas,1973,1976,F,6-6,215,"November 19, 1950","Trinity Valley CC, Louisville",thomaro01
806,Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",Detroit Mercy,thomate01
807,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova,thomati01
808,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",LSU,thomaty01
809,Willis Thomas,1968,1968,G,6-2,185,,Harbor College,thomawi01
810,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",Georgia,thomptr02
811,Amen Thompson,2024,2025,G,6-7,209,"January 30, 2003",,thompam01
812,Ausar Thompson,2024,2025,G,6-7,215,"January 30, 2003",,thompau01
813,Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962",Fresno State,thompbe01
814,Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",Louisville,thompbi01
815,Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M, Oklahoma State",thompbr01
816,Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",UConn,thompco01
817,David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",NC State,thompda01
818,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983",UCLA,thompdi01
819,George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette,thompge01
820,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown,thompho01
821,Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",South Carolina,thompja01
822,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,thompja02
823,John Thompson,1965,1966,F,6-10,225,"September 2, 1941",Providence,thompjo01
824,Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",NC State,thompke01
825,Klay Thompson,2012,2025,G-F,6-5,215,"February 8, 1990",Washington State,thompkl01
826,LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",Texas,thompla01
827,Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",Minnesota,thompmy01
828,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine,thompmy02
829,Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane,thomppa01
830,Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse,thompst01
831,Tristan Thompson,2012,2025,F-C,6-9,254,"March 13, 1991",Texas,thomptr01
832,JT Thor,2022,2025,F,6-10,205,"August 26, 2002",Auburn,thorjt01
833,Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",Illinois,thoresk01
834,Rod Thorn,1964,1971,G,6-4,195,"May 23, 1941",West Virginia,thornro01
835,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State,thornal01
836,Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",thornbo01
837,Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,thornda01
838,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",LSU,thornma01
839,Sindarius Thornwell,2018,2021,G,6-4,215,"November 15, 1994",South Carolina,thornsi01
840,Otis Thorpe,1985,2001,F-C,6-10,248,"August 5, 1962",Providence,thorpot01
841,Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia Tech,threase01
842,Nate Thurmond,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green,thurmna01
843,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius,thursme01
844,Matisse Thybulle,2020,2024,G,6-5,201,"March 4, 1997",Washington,thybuma01
845,Hal Tidrick,1949,1949,F-G,6-1,190,"April 4, 1915",Washington & Jefferson College,tidriha01
846,Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,tiemada01
847,Killian Tillie,2021,2022,F,6-9,220,"March 5, 1998",Gonzaga,tilliki02
848,Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,tillida01
849,Xavier Tillman Sr.,2021,2025,F,6-8,245,"January 12, 1999",Michigan State,tillmxa01
850,Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",Kentucky,tinglja01
851,George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,tinslge01
852,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State,tinslja01
853,Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",Oklahoma,tisdawa01
854,Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",Virginia,tobeymi01
855,Isaiah Todd,2022,2023,F,6-10,220,"October 17, 2001",,toddis01
856,Mike Todorovich,1950,1951,F-C,6-5,220,"June 11, 1923","Washington University in Saint Louis, Notre Dame, Wyoming",todormi01
857,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana,tolbera01
858,Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, Arizona",tolbeto01
859,Anthony Tolliver,2009,2021,F-C,6-8,240,"June 1, 1985",Creighton,tollian01
860,Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",Arkansas,tolsode01
861,Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",Michigan,tomjaru01
862,Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",Louisiana,toneyan01
